"Subject"	"PrimeType"	"TargetType"	"Accuracy"	"Task"	"TrialType"	"ConType"	"Observer"
35	"white"	"weapon"	0.729166666666667	"WIT"	"white_weapon"	"incongruent"	"Present"
36	"black"	"tool"	0.520833333333333	"WIT"	"black_tool"	"incongruent"	"Absent"
36	"black"	"weapon"	0.583333333333333	"WIT"	"black_weapon"	"congruent"	"Absent"
36	"white"	"tool"	0.4375	"WIT"	"white_tool"	"congruent"	"Absent"
36	"white"	"weapon"	0.479166666666667	"WIT"	"white_weapon"	"incongruent"	"Absent"
37	"black"	"tool"	0.1875	"WIT"	"black_tool"	"incongruent"	"Present"
37	"black"	"weapon"	0.416666666666667	"WIT"	"black_weapon"	"congruent"	"Present"
37	"white"	"tool"	0.0625	"WIT"	"white_tool"	"congruent"	"Present"
37	"white"	"weapon"	0.833333333333333	"WIT"	"white_weapon"	"incongruent"	"Present"
38	"black"	"tool"	0.416666666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
38	"black"	"weapon"	0.625	"WIT"	"black_weapon"	"congruent"	"Absent"
38	"white"	"tool"	0.395833333333333	"WIT"	"white_tool"	"congruent"	"Absent"
38	"white"	"weapon"	0.583333333333333	"WIT"	"white_weapon"	"incongruent"	"Absent"
39	"black"	"tool"	0.666666666666667	"WIT"	"black_tool"	"incongruent"	"Present"
39	"black"	"weapon"	0.75	"WIT"	"black_weapon"	"congruent"	"Present"
39	"white"	"tool"	0.6875	"WIT"	"white_tool"	"congruent"	"Present"
39	"white"	"weapon"	0.833333333333333	"WIT"	"white_weapon"	"incongruent"	"Present"
40	"black"	"tool"	0.916666666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
40	"black"	"weapon"	0.833333333333333	"WIT"	"black_weapon"	"congruent"	"Absent"
40	"white"	"tool"	0.9375	"WIT"	"white_tool"	"congruent"	"Absent"
40	"white"	"weapon"	0.979166666666667	"WIT"	"white_weapon"	"incongruent"	"Absent"
41	"black"	"tool"	0.333333333333333	"WIT"	"black_tool"	"incongruent"	"Present"
41	"black"	"weapon"	0.833333333333333	"WIT"	"black_weapon"	"congruent"	"Present"
41	"white"	"tool"	0.8125	"WIT"	"white_tool"	"congruent"	"Present"
41	"white"	"weapon"	0.5625	"WIT"	"white_weapon"	"incongruent"	"Present"
42	"black"	"tool"	0.854166666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
42	"black"	"weapon"	0.958333333333333	"WIT"	"black_weapon"	"congruent"	"Absent"
42	"white"	"tool"	0.895833333333333	"WIT"	"white_tool"	"congruent"	"Absent"
42	"white"	"weapon"	0.958333333333333	"WIT"	"white_weapon"	"incongruent"	"Absent"
43	"black"	"tool"	0.958333333333333	"WIT"	"black_tool"	"incongruent"	"Present"
43	"black"	"weapon"	0.916666666666667	"WIT"	"black_weapon"	"congruent"	"Present"
43	"white"	"tool"	0.791666666666667	"WIT"	"white_tool"	"congruent"	"Present"
43	"white"	"weapon"	0.8125	"WIT"	"white_weapon"	"incongruent"	"Present"
44	"black"	"tool"	0.354166666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
44	"black"	"weapon"	0.645833333333333	"WIT"	"black_weapon"	"congruent"	"Absent"
44	"white"	"tool"	0.604166666666667	"WIT"	"white_tool"	"congruent"	"Absent"
44	"white"	"weapon"	0.583333333333333	"WIT"	"white_weapon"	"incongruent"	"Absent"
