"Subject"	"Observer"	"BNcor"	"BPcor"	"BNfa"	"BPfa"	"APT_BlackC"	"APT_BlackA"	"WPcor"	"WNcor"	"WPfa"	"WNfa"	"APT_WhiteC"	"APT_WhiteA"	"APT_DiffA"	"APT_MeanC"	"APT_AResid"	"BGcor"	"BTcor"	"BGfa"	"BTfa"	"WIT_BlackC"	"WIT_BlackA"	"WTcor"	"WGcor"	"WTfa"	"WGfa"	"WIT_WhiteC"	"WIT_WhiteA"	"WIT_DiffA"	"WIT_MeanC"	"WIT_AResid"	"WIT_MeanC.stand"	"WIT_AResid.stand"	"WIT_DiffA.stand"	"AP_MeanC.stand"	"AP_AResid.stand"	"AP_DiffA.stand"
33	"Present"	29	21	13	19	0.208333333333333	0.5	31	28	16	19	0.25	0.527777777777778	-0.0277777777777778	0.229166666666667	0.0857261341532408	31	18	8	23	0.166666666666667	0.575	31	15	7	22	0.1875	0.564102564102564	0.010897435897436	0.177083333333333	0.0911841787834486	-0.967003336700799	0.52944576334251	-0.099859092661004	-0.48758808356013	0.604486231436595	0.257826240240457
34	"Absent"	23	27	21	19	0.0833333333333334	0.431818181818182	35	17	13	30	0.104166666666667	0.697674418604651	-0.265856236786469	0.09375	-0.0404340668914367	38	31	8	12	0.541666666666667	0.545454545454545	41	29	5	15	0.541666666666667	0.681818181818182	-0.136363636363636	0.541666666666667	0.0538930297549439	0.551738244190597	0.308626634771789	-0.746650752257975	-1.09531709580671	-0.285584744943075	-1.03777915476439
35	"Present"	18	20	2	1	0.354166666666667	0.032258064516129	18	17	2	3	0.3125	0.0909090909090909	-0.0586510263929619	0.333333333333333	-0.232931394100485	42	25	0	6	0.75	0.5	31	35	4	6	0.520833333333333	0.260869565217391	0.239130434782609	0.635416666666667	0.0361369277229971	0.942271793562671	0.203484072001459	0.902572832199813	-0.0201042279858374	-1.64366980315219	0.0898163008544749
36	"Absent"	21	27	23	17	0.0833333333333333	0.386363636363636	19	22	20	22	-0.0625	0.431372549019608	-0.0450089126559715	0.0104166666666667	0.00498870975263522	28	25	14	21	0.145833333333333	0.51219512195122	21	23	18	18	0.0625	0.4	0.11219512195122	0.104166666666667	0.0391772589843061	-1.27075165287908	0.221487360105437	0.345054810722131	-1.46930418026615	0.0348768175995161	0.164055676522936
38	"Absent"	33	21	13	21	0.25	0.583333333333333	25	29	17	13	0.25	0.361111111111111	0.222222222222222	0.25	0.225935599724664	30	20	16	16	0.291666666666667	0.470588235294118	19	28	16	14	0.104166666666667	0.325581395348837	0.14500683994528	0.197916666666667	0.00246712083576102	-0.880218103507005	0.00410868106617898	0.48916856196511	-0.394091312445272	1.5936759670699	1.61830778107312
39	"Present"	23	32	9	5	0.375	0.166666666666667	32	24	2	6	0.541666666666667	0.272727272727273	-0.106060606060606	0.458333333333333	-0.160569481664227	36	32	7	10	0.541666666666667	0.454545454545455	33	40	7	8	0.520833333333333	0.347826086956522	0.106719367588933	0.53125	-0.0150393619127425	0.508345627593701	-0.0995557638643854	0.321004515575224	0.540876398703314	-1.13315034042534	-0.168183131131387
40	"Absent"	44	40	3	5	0.8125	0.555555555555556	44	41	1	5	0.8125	0.555555555555556	0	0.8125	0.131802334335781	40	44	8	1	0.8125	0.111111111111111	45	47	2	1	0.916666666666667	0.25	-0.138888888888889	0.864583333333333	-0.352036743143243	1.89690935869441	-2.09508204805187	-0.757742021978013	2.13032150765591	0.929557752762213	0.408990855888532
41	"Present"	33	27	6	14	0.395833333333333	0.482758620689655	43	13	1	22	0.4375	0.814814814814815	-0.33205619412516	0.416666666666667	-0.0294685840115927	40	16	6	24	0.333333333333333	0.75	39	27	7	18	0.4375	0.666666666666667	0.0833333333333334	0.385416666666667	0.259435454877425	-0.0991510047628579	1.52574384307141	0.21828971338531	0.353882856473597	-0.208222328170443	-1.39803443461718
42	"Absent"	40	38	2	5	0.729166666666667	0.384615384615385	39	27	3	12	0.5625	0.571428571428571	-0.186813186813187	0.645833333333333	-0.0445546111032552	46	41	1	3	0.895833333333333	0.6	43	46	1	0	0.895833333333333	0	0.6	0.895833333333333	0.153302160266579	2.0270872084851	0.897276707065702	2.48756349810504	1.38234733873704	-0.314655535727009	-0.607632713085328
43	"Present"	34	39	9	6	0.583333333333333	0.3	31	39	14	5	0.541666666666667	0.227272727272727	0.0727272727272727	0.5625	-0.0117244759023238	44	46	0	2	0.875	0.333333333333333	38	39	6	8	0.625	0.444444444444444	-0.111111111111111	0.75	-0.142608976659524	1.41959057612854	-0.854957833641164	-0.635738055057598	1.00836025427761	-0.0830361323731623	0.804767304130762
